pres_trial	stimulus	type	latency
17	Response	255	373087.992
18	Sound	correct	373207.192
18	Response	1	373377.992
19	Picture	nonWM	373395.0
19	Picture	W	374706.0
19	Picture	D	375066.0
19	Picture	R	375427.0
19	Picture	Z	375787.0
19	Picture	M	376148.0
19	Picture	gT	376508.0
19	Picture	H	376868.0
19	Picture	L	377229.0
19	Picture	WM	377589.0
19	Picture	rW	378620.0
19	Response	1	378755.992
20	Sound	correct	378875.192
20	Response	255	379144.992
21	Picture	nonWM	379161.0
21	Picture	K	380472.0
21	Picture	G	380833.0
21	Picture	J	381193.0
21	Picture	Z	381553.0
21	Picture	H	381914.0
21	Picture	D	382274.0
21	Picture	gP	382634.0
21	Picture	V	382995.0
