pres_trial	stimulus	type	latency	event_type	task_role	letter
23	Picture	WM	389251.0	show_dash	work_memory	n/a
23	Picture	rH	390098.0	show_letter	probe	H
23	Response	255	390290.992	response	unknown	n/a
24	Sound	correct	390410.192	sound_beep	correct_feedback	n/a
24	Response	1	390988.992	right_click	in_group	n/a
25	Picture	nonWM	391007.0	show_cross	ready	n/a
25	Picture	P	392319.0	show_letter	target	P
25	Picture	gY	392679.0	show_letter	non_target	Y
25	Picture	R	393039.0	show_letter	target	R
25	Picture	T	393400.0	show_letter	target	T
25	Picture	B	393760.0	show_letter	target	B
25	Picture	G	394120.0	show_letter	target	G
25	Picture	V	394481.0	show_letter	target	V
25	Picture	M	394841.0	show_letter	target	M
25	Picture	WM	395202.0	show_dash	work_memory	n/a
25	Picture	rP	395972.0	show_letter	probe	P
25	Response	1	396162.992	right_click	in_group	n/a
26	Sound	correct	396282.192	sound_beep	correct_feedback	n/a
26	Response	1	397296.992	right_click	in_group	n/a
27	Picture	nonWM	397314.0	show_cross	ready	n/a
27	Picture	gD	398625.0	show_letter	non_target	D
27	Picture	gC	398986.0	show_letter	non_target	C
27	Picture	R	399346.0	show_letter	target	R
27	Picture	gG	399706.0	show_letter	non_target	G
27	Picture	Z	400067.0	show_letter	target	Z
27	Picture	gX	400427.0	show_letter	non_target	X
27	Picture	gL	400787.0	show_letter	non_target	L
27	Picture	K	401148.0	show_letter	target	K
27	Picture	WM	401508.0	show_dash	work_memory	n/a
27	Picture	rK	402359.0	show_letter	probe	K
27	Response	1	402562.992	right_click	in_group	n/a
28	Sound	correct	402682.192	sound_beep	correct_feedback	n/a
28	Response	1	404098.992	right_click	in_group	n/a
29	Picture	nonWM	404115.0	show_cross	ready	n/a
29	Picture	gG	405426.0	show_letter	non_target	G
29	Picture	L	405787.0	show_letter	target	L
29	Picture	X	406147.0	show_letter	target	X
29	Picture	gP	406507.0	show_letter	non_target	P
29	Picture	gH	406868.0	show_letter	non_target	H
29	Picture	gM	407228.0	show_letter	non_target	M
29	Picture	N	407588.0	show_letter	target	N
29	Picture	gR	407949.0	show_letter	non_target	R
29	Picture	WM	408309.0	show_dash	work_memory	n/a
