pres_trial	stimulus	type	latency	event_type	task_role	letter
11	Picture	WM	197367.0	show_dash	work_memory	n/a
11	Picture	rL	198343.0	show_letter	probe	L
11	Response	255	198538.992	response	unknown	n/a
12	Sound	correct	198658.192	sound_beep	correct_feedback	n/a
12	Response	1	199079.992	right_click	in_group	n/a
13	Picture	nonWM	199097.0	show_cross	ready	n/a
13	Picture	H	200409.0	show_letter	target	H
13	Picture	D	200769.0	show_letter	target	D
13	Picture	W	201130.0	show_letter	target	W
13	Picture	Y	201490.0	show_letter	target	Y
13	Picture	gK	201851.0	show_letter	non_target	K
13	Picture	P	202211.0	show_letter	target	P
13	Picture	X	202571.0	show_letter	target	X
13	Picture	V	202932.0	show_letter	target	V
13	Picture	WM	203292.0	show_dash	work_memory	n/a
13	Picture	rX	204130.0	show_letter	probe	X
13	Response	1	204339.992	right_click	in_group	n/a
14	Sound	correct	204459.192	sound_beep	correct_feedback	n/a
14	Response	255	204793.992	response	unknown	n/a
15	Picture	nonWM	204813.0	show_cross	ready	n/a
15	Picture	V	206125.0	show_letter	target	V
15	Picture	gW	206485.0	show_letter	non_target	W
15	Picture	gS	206845.0	show_letter	non_target	S
15	Picture	R	207206.0	show_letter	target	R
15	Picture	gB	207566.0	show_letter	non_target	B
15	Picture	N	207927.0	show_letter	target	N
15	Picture	gP	208287.0	show_letter	non_target	P
15	Picture	gZ	208647.0	show_letter	non_target	Z
15	Picture	WM	209008.0	show_dash	work_memory	n/a
15	Picture	rX	210030.0	show_letter	probe	X
15	Response	255	210277.992	response	unknown	n/a
16	Sound	correct	210397.192	sound_beep	correct_feedback	n/a
16	Response	1	210699.992	right_click	in_group	n/a
17	Picture	nonWM	210717.0	show_cross	ready	n/a
17	Picture	C	212029.0	show_letter	target	C
17	Picture	gV	212389.0	show_letter	non_target	V
17	Picture	gW	212750.0	show_letter	non_target	W
17	Picture	H	213110.0	show_letter	target	H
17	Picture	gN	213471.0	show_letter	non_target	N
17	Picture	gX	213831.0	show_letter	non_target	X
17	Picture	R	214191.0	show_letter	target	R
17	Picture	gM	214552.0	show_letter	non_target	M
17	Picture	WM	214912.0	show_dash	work_memory	n/a
17	Picture	rR	215528.0	show_letter	probe	R
17	Response	1	215748.992	right_click	in_group	n/a
18	Sound	correct	215868.192	sound_beep	correct_feedback	n/a
18	Response	255	216684.992	response	unknown	n/a
19	Picture	nonWM	216702.0	show_cross	ready	n/a
19	Picture	W	218013.0	show_letter	target	W
19	Picture	L	218374.0	show_letter	target	L
19	Picture	D	218734.0	show_letter	target	D
